station_name,latitude,longitude,verified_province,verified_district,is_in_izmir
6. Sanayi Sitesi İtfaiye Grubu,38.3458537,27.1398491,İzmir,Buca,True
Alosbi İtfaiye İstasyonu,38.8065108,27.0504836,İzmir,Aliağa,True
Balçova İtfaiye Grubu,38.3904733,27.0485545,İzmir,Balçova,True
Bayındır İtfaiye Grubu,38.2187664,27.6415279,İzmir,Bayındır,True
Bayraklı İtfaiye Grubu,38.451678,27.1767137,İzmir,Bayraklı,True
Bergama OSB İtfaiye Grubu,39.1077938,27.1937707,İzmir,Bergama,True
Beydağ İtfaiye Grubu,38.0858461,28.2110254,İzmir,Beydağ,True
Birgi İtfaiye Grubu,38.2530136,28.0658716,İzmir,Ödemiş,True
Bornova İtfaiye Müdürlüğü,38.4609301,27.2277298,İzmir,Bornova,True
Çamdibi İtfaiye Grubu,38.4257671,27.1829293,İzmir,Bornova,True
Çandarlı İtfaiye Müdürlüğü,38.9406527,26.9387285,İzmir,Dikili,True
Çaybaşı İtfaiye Grubu,38.1301752,27.385045,İzmir,Torbalı,True
Çeşme İtfaiye Grubu,38.3371806,26.3030841,İzmir,Çeşme,True
Çiğli İtfaiye Grubu,38.4919078,27.0411853,İzmir,Çiğli,True
Bostanlı İtfaiye Grubu,38.4872748,27.0748223,İzmir,Karşıyaka,True
Dikili İtfaiye Müdürlüğü,39.0781367,26.8966623,İzmir,Dikili,True
Evka-1 İtfaiye Grubu,38.3970338,27.1688458,İzmir,Buca,True
Evka-4 İtfaiye Grubu,38.4880259,27.214068,İzmir,Bornova,True
Foça İtfaiye Müdürlüğü,38.6662662,26.754763,İzmir,Foça,True
Gaziemir İtfaiye Grubu,38.3139969,27.1277295,İzmir,Gaziemir,True
Gümüldür İtfaiye Grubu,38.0704536,27.0007705,İzmir,Menderes,True
Güzelbahçe İtfaiye Grubu,38.3674545,26.8845373,İzmir,Güzelbahçe,True
Hatay İtfaiye Grubu,38.4020511,27.1149087,İzmir,Karabağlar,True
Ilıca İtfaiye Grubu,38.305354,26.361923,İzmir,Çeşme,True
Pınarbaşı İtfaiye Grubu,38.4304819,27.2396074,İzmir,Bornova,True
Deniz Arama Kurtarma Birimi,38.4136778,27.0237582,İzmir,Balçova,True
İTOB OSB İtfaiye Grubu,38.192774,27.2063271,İzmir,Menderes,True
Kadifekale İtfaiye Grubu,38.413057,27.139184,İzmir,Konak,True
Karabağlar İtfaiye Grubu,38.3926428,27.1343972,İzmir,Karabağlar,True
Karaburun İtfaiye Grubu,38.6365002,26.5106161,İzmir,Karaburun,True
Karşıyaka İtfaiyesi,38.4665598,27.134702,İzmir,Karşıyaka,True
Kemalpaşa OSB İtfaiye,38.455657,27.365967,İzmir,Kemalpaşa,True
Kınık İtfaiye,39.0883214,27.3742711,İzmir,Kınık,True
Kırklar İtfaiye Grubu,38.3092428,27.305661,İzmir,Buca,True
Kısıkköy İtfaiye Müdürlüğü,38.2751599,27.1971095,İzmir,Menderes,True
Menderes İtfaiye Grubu,38.2552038,27.1283411,İzmir,Menderes,True
Menemen İtfaiye Grubu,38.6114959,27.0747393,İzmir,Menemen,True
Mordoğan İtfaiye Grubu,38.5151347,26.6163012,İzmir,Karaburun,True
Narlıdere İtfaiye,38.3937204,27.016462,İzmir,Narlıdere,True
Ödemiş İtfaiyesi,38.2203779,27.9772609,İzmir,Ödemiş,True
Seferihisar İtfaiye Müdürlüğü,38.1932306,26.8449294,İzmir,Seferihisar,True
Selçuk İtfaiye Amirliği,37.9586131,27.3672035,İzmir,Selçuk,True
Seyrek İtfaiye Grubu,38.5885704,26.9735422,İzmir,Menemen,True
Tire İtfaiye Grubu,38.0947013,27.7445669,İzmir,Tire,True
Torbalı İtfaiye Grubu,38.1516848,27.3645769,İzmir,Torbalı,True
Toros İtfaiyesi (Buca),38.4055253,27.1917275,İzmir,Buca,True
Urla İtfaiye Grubu,38.3274799,26.7704619,İzmir,Urla,True
Yenifoça İtfaiye,38.7440082,26.8432607,İzmir,Foça,True
Hilal Merkez İtfaiye (Konak),38.422673,27.1538156,İzmir,Konak,True
